ppm,p_ctr,p_corr
2.06,0.4876067191505378,0.4897898411298028
3.82,0.4765777411473861,0.3349138428504777
1.22,0.4678768285797546,0.6028033615756926
1.26,0.46326674170819576,0.6244268925454092
3.7,0.36232527095861433,0.27453876635526225
3.74,0.31375621866165604,0.2280869951047386
1.9,0.3047581190690468,0.2374759335448196
3.78,0.29174621251201605,0.1762763404677767
1.18,-0.2523305755663673,-0.3805977452726666
2.02,-0.21069342411219727,-0.1868680016090937
3.66,0.20889326518254736,0.20330787171643722
3.58,0.16851846179521493,0.12020613666983794
3.86,0.16580418836834854,0.15930495256252003
4.62,0.116100722968897,0.5764550214978515
3.54,0.11069366349820618,0.1975900060073759
1.3,0.10600042075889857,0.21889233846660358
3.5,0.10221005009679464,0.2664052958444913
4.14,0.08096012150187398,0.2600447930682557
3.62,0.07740012298895235,0.08797569299018314
3.9,0.06980545941604999,0.057547862440030066
3.98,0.06561689819907239,0.16008655002230376
5.3,0.06344817990178764,0.373427419612133
5.14,0.05816800325460374,0.5113376874870044
2.66,0.05672553176769114,0.26563573666854234
1.34,0.05529757310729232,0.17799481679546444
4.66,0.054404387137227256,0.24409143850008583
4.34,0.054297803397363203,0.5979529813089459
3.02,-0.0529561104268702,-0.15449733863147475
3.3,0.05216400005169753,0.31121289098514915
4.26,0.05160361031881501,0.57168804486598
5.22,0.05119528303298542,0.2855357307713392
5.18,0.04858551103315579,0.39306049725873116
8.42,0.04467785074220738,0.5970908562460142
4.1,0.04465485911731391,0.2334159642024827
1.7,-0.04317840299088562,-0.14039498580304682
2.54,0.04248911392670786,0.23844169866975765
4.58,0.03941878766372542,0.32924699399050916
3.94,0.03935453500921177,0.03904780801173016
4.3,0.03923863723254674,0.6895903011818165
3.26,0.03507222583326269,0.27869109324151276
4.22,0.03476301471670514,0.2738207307791861
1.14,0.03310885407918152,0.14110202834481458
5.42,-0.029514700794211444,-0.4346330014510229
8.38,0.02701218050437854,0.5936920950543797
4.9,0.024814873367792967,0.1365293806711301
3.42,0.023796218718482174,0.29779273829032227
2.38,-0.023258464418677724,-0.030120156396192983
3.46,-0.02279048070652858,-0.0769493386770815
4.06,-0.021629098942140407,-0.2210941878448143
5.38,-0.020189170383428157,-0.38653693978038156
1.66,-0.018256469400223903,-0.14122002013551735
5.26,0.01770986948848785,0.4383450322237415
4.54,0.016594459234995994,0.25180786890824836
1.74,-0.015308565306172799,-0.1262017373994828
1.5,-0.013537206580913841,-0.11179453308746572
1.42,-0.01350040103785792,-0.11923413712554405
2.5,0.013195293066586051,0.150670395863401
2.98,-0.013141865534000187,-0.11183377659277123
0.94,-0.012902577289697487,-0.061410723844143235
2.7,0.012205574729589545,0.1573104062833836
4.94,0.011924614669604776,0.1326216103149954
0.86,0.011468417626632046,0.1019603118542225
4.18,-0.011124524991541271,-0.08105431663974838
1.46,-0.010352419267361327,-0.046457620488083044
1.62,-0.010180652596147234,-0.145196587862846
4.42,-0.009958673215686283,-0.01991526463666506
1.98,0.009264631936047554,0.08047671893041891
1.82,0.008336836286322905,0.2227812859528075
3.1,-0.008290054689711555,-0.06488469373238173
5.02,0.007811600448282465,0.05896112449237574
4.38,0.007765507361740327,0.3628715057863539
1.06,-0.007322555618116633,-0.03554534357693613
1.94,0.0067439201011674915,0.15153061882927044
8.46,0.006072963380790463,0.14235141172949037
1.86,-0.005587847870406795,-0.06808638865850664
2.22,0.005552348395754906,0.06293856229346295
1.38,0.0055004355862058926,0.08686595342029174
4.02,0.005431307245817184,0.053240410366847554
1.1,0.0048640392948115525,0.22774481251281056
3.06,-0.004421616606668237,-0.1184899260908947
3.14,0.004366169435378303,0.06822217550069551
2.46,0.004243662592490695,0.09236143050585015
3.18,-0.0039888806860148675,-0.07779903296058836
3.38,0.003973745397342635,0.13523641580956788
0.9,-0.0039590237560681515,-0.02131204683381514
1.78,-0.003924951875967013,-0.03531753078255624
4.98,0.003880278069356312,0.08470395518866897
2.34,0.0038397575897878237,0.029721004258912623
5.46,0.0035043166753467962,0.3805068089365903
1.02,-0.0034530585883234093,-0.02545804736741433
1.54,0.003206962057591828,0.05340706150230223
5.34,0.0031507961778397633,0.19426210871133612
5.06,0.002925358027524619,0.1929438326642711
7.18,0.0028995069517493985,0.13838306400965295
2.3,-0.00286386525989142,-0.06976040658083506
2.42,-0.0026843003733849724,-0.07594573165909312
2.62,0.002355872091386487,0.21060805879388253
8.22,0.0021918494363623886,0.24860157879932487
0.82,0.0021861201688680265,0.11217015219941343
2.14,-0.0021704937436561817,-0.025607175136104825
0.98,-0.002040256784419667,-0.017099202297195297
8.02,0.0019388939727468673,0.27306676013541864
2.1,-0.0019315422473440923,-0.02275450382083603
3.22,-0.0018427723301678947,-0.031783854792611
2.86,-0.0017958384140209966,-0.09492391295251319
8.06,0.001691534947861654,0.2783376019378839
4.46,-0.0016912385301316524,-0.008963060573730424
8.18,0.0016341635603157416,0.21451535793889712
5.1,-0.0016144682360394135,-0.017305246331389985
7.22,-0.001442057790816138,-0.27230511396759316
3.34,-0.0012219227802982952,-0.04867832234493886
2.26,0.0011775391971440637,0.027919135877012974
7.98,-0.0010870209603053237,-0.1962045160738702
8.3,0.000991362908044646,0.125950276793561
7.38,-0.0009333611346007779,-0.09080466567893311
