subset,label,n,n_sec,n_nonsec,n_ortho,R2X,R2Y,p(R2Y),Q2,p(Q2),int(R2Y),int(Q2)
timing3,Newborn,106,88,18,3,0.5188957251395699,0.6105725939701796,0.000999000999000999,0.3901637496606849,0.000999000999000999,0.21428554348032067,-0.3384089185901899
timing4,1 mo.,78,65,13,1,0.673608817340963,0.42674163546347055,0.000999000999000999,0.22594505984595092,0.000999000999000999,0.17509904659501754,-0.25081717766372236
timing5,4-5 mos.,85,67,18,1,0.6374787323732094,0.27341844129839277,0.015984015984015984,0.020319047582659344,0.014985014985014986,0.15543975428248993,-0.211783976456676
matched_timing3,Newborn (feeding-type matched),56,42,14,3,0.734340491330538,0.6727653631092658,0.000999000999000999,0.3864265358262605,0.000999000999000999,0.3438786652284775,-0.5395053106354952
