ppm,p_ctr,p_corr
2.02,-0.4579553298170865,-0.3658236142662472
1.22,0.42463752546313177,0.42713189299568705
3.82,0.41728543620842296,0.31416253471020705
1.9,-0.3194962069531472,-0.29384171959813044
1.18,-0.2336665530010085,-0.49313000334807844
2.38,-0.22752697996958904,-0.22747046483478417
3.54,-0.21018890519073086,-0.21748144588160517
1.26,0.2066019361111346,0.20477124689575052
3.78,0.2041800854754674,0.12869108743446486
3.66,0.16289859505478999,0.09349345221308
3.74,0.1608675008174166,0.1282046401175587
3.62,-0.1393568029728712,-0.14234909169211604
3.94,-0.11668799718583436,-0.14592895825361615
4.42,-0.10124883458172518,-0.2931235908836101
1.14,-0.09946861642477602,-0.3150189832667369
2.06,0.09519695367256573,0.09807961625029063
4.1,-0.09329315048174326,-0.27501995909614485
4.22,0.08374000566982043,0.5012890874827527
5.3,0.08347140942531904,0.4088987845772636
1.34,-0.08342164505730713,-0.11443868032008699
1.3,-0.08104338114456407,-0.06012959947958822
4.18,0.07716088525016267,0.13717965228110807
4.62,0.07129763656529524,0.4261843122786809
4.26,0.05829256570179554,0.4990770284107609
3.46,-0.05588617730719859,-0.17996866993280747
3.3,0.05570782616037491,0.31630868910952736
0.94,-0.0488253185930266,-0.24411813752374215
3.5,-0.046496175963215515,-0.12070257051944491
2.66,-0.0463802759339129,-0.3086846556885945
4.06,-0.04469735969863185,-0.3323457646762619
3.58,-0.044000742047188554,-0.03840992785088556
4.5,0.041888041382718,0.2534223377665965
5.22,0.04150742338256795,0.20275801433853
1.7,-0.03918682106093506,-0.2961835982151947
3.7,0.03861548614430656,0.03701776271254578
3.98,-0.033758261553327173,-0.10774426066894278
2.54,-0.03315126266736152,-0.1727824227510001
5.18,0.03052545806831035,0.21417427864666289
3.86,0.02970400622794437,0.03560874949280546
2.34,-0.028732342184723748,-0.28747968141166164
0.98,-0.026751607636237552,-0.2071400554197491
4.3,0.02543300725141423,0.45323947404174664
1.98,-0.024396462488068194,-0.16078432737655382
4.58,0.024125211225570212,0.06598260336293213
4.54,0.02406524246102648,0.2756143970053843
1.46,-0.02377890180077954,-0.2536546299589022
5.1,-0.02371694416328532,-0.35503243301453064
0.9,0.023337400615378215,0.06186883651588851
1.02,-0.02262863195280981,-0.20493879933407158
3.02,-0.02119371818256919,-0.21911874931237704
5.02,-0.02110033167910037,-0.3106270112790852
3.1,0.019769491798516982,0.19698732083720172
2.14,-0.018941111219999567,-0.18182512885743618
3.22,-0.016089358337648314,-0.2546475888826189
4.66,0.01526671270310409,0.08299936674527851
3.38,-0.014703759849822473,-0.24318534140131437
2.7,-0.013627792181549626,-0.12383246807026181
2.74,-0.013492884692378507,-0.1745738103939335
4.02,0.01340222362369523,0.1052568261003803
4.34,0.013270470802441158,0.2916986779832946
2.42,-0.01249366005194309,-0.23451318186619088
3.26,0.012335857524810357,0.06567387456899651
1.94,-0.011726064094675647,-0.15931604059025786
8.42,0.010927228928616894,0.25017286241083475
5.38,-0.010676407298529018,-0.32608589969967067
2.22,-0.010137602949109268,-0.12409466280939628
3.14,-0.010019087322559503,-0.10483813039847677
5.26,0.009901603668713179,0.08683217326658602
3.42,-0.009674746388672493,-0.09133395913020931
1.42,0.009100357233538166,0.12138927141903996
8.38,0.00880502283240784,0.19482884839109535
7.18,-0.008791335694857835,-0.3650671745911534
5.42,-0.008758939734498372,-0.10513802542021095
4.9,0.008741147557889285,0.0458614713259854
2.1,-0.008627011170610105,-0.05884603101172939
3.18,-0.008392630096761874,-0.2017428006858585
5.14,0.00808293634488693,0.14282389721011052
1.66,-0.0073639861604559995,-0.09104070324317837
6.9,-0.00723693599897888,-0.4222727648570005
7.42,-0.006926082796224744,-0.42931937412891685
1.5,0.006801089720899529,0.09025396652234353
2.98,-0.006744625476496118,-0.22541124707136265
8.22,-0.006677499090015371,-0.46239148973212213
1.54,0.005867590012294895,0.0659127607805189
2.26,-0.005727921744644091,-0.10294135913581508
7.3,-0.005605654353189143,-0.405051034254927
1.82,-0.005555295851176778,-0.1337282966403318
2.3,-0.005356663457083637,-0.08306413749592942
1.58,0.00506410975701101,0.09277139093111839
5.34,0.005027524043158058,0.06910162889635806
7.34,-0.004626613015813859,-0.4182017646921949
2.78,-0.004603081079457235,-0.13646558576843912
5.46,0.004579723815720297,0.35634659780747
4.14,-0.004571426634205613,-0.018752903464959527
4.94,0.004324513545627079,0.04968587401267769
1.74,-0.004293782304317582,-0.0468547522762209
8.02,-0.003832472238412972,-0.3608130617538186
3.9,-0.0038062439432758922,-0.004391386249944075
7.38,-0.0034342506599854454,-0.41638369646492435
0.86,0.0031798257269597826,0.009720575888592863
3.34,-0.0031270902792687404,-0.11137195535251475
8.18,-0.003094276152261411,-0.39936116690284706
3.06,0.0029974427094036447,0.09726506451412646
4.46,0.002921942728276286,0.008044296244331315
2.46,-0.002865581398189669,-0.2256978659678472
8.06,-0.002676821992771002,-0.22275222212802304
1.38,0.0026631768060638166,0.01514087633735126
2.18,-0.0026578826587248983,-0.025709645705375508
5.06,-0.0024673547443090126,-0.1381994423075921
2.62,-0.0024069733229299247,-0.2707572516172968
8.46,-0.002293613066899348,-0.03841042379541093
0.7,0.002286586029573813,0.09671555944121217
8.3,-0.002232890335443114,-0.5655159633660056
1.62,0.002054614275141824,0.047066626136939425
7.1,-0.0020452838945544316,-0.40108437842161354
0.82,-0.0019390300210239738,-0.05631563104215729
1.78,0.0017950889489901116,0.013441623442917792
2.82,-0.0017821315986564197,-0.1262815836934404
0.74,0.001716343604096442,0.07530066266436938
8.34,-0.001635438028082007,-0.35056303955841034
7.26,-0.0016297573700994263,-0.3564498948631306
2.58,-0.0015839402578162875,-0.06773445517827724
7.54,-0.001553016031763127,-0.3723811311759195
7.98,0.001402015933187931,0.1603350833484336
7.9,-0.0013840436728183275,-0.29555974672872615
5.5,0.0012378499332059499,0.14839757644801488
7.74,-0.0011703827980744344,-0.3094978026743175
1.86,0.001049593931627155,0.022972265146677138
5.54,0.0009422508878878648,0.12783773023199063
0.78,0.0008436049489232915,0.08309690959448514
1.06,-0.0008243014591080305,-0.005769019929899864
4.98,0.0007528007318165126,0.01843829943797987
0.62,0.0006633056843212132,0.12947963277525784
2.5,0.0006391117462397258,0.04087907417907866
8.14,-0.0005745900895430986,-0.3348179503356413
2.86,-0.0005529350866108625,-0.04050198752586121
7.06,0.000522442990183297,0.13179859097126978
7.7,-0.0005146623478248584,-0.40580733762162613
5.9,-0.00048730580505804675,-0.15684752345623887
7.82,0.0004391159056714226,0.14279898961303225
2.94,-0.00040083612526951363,-0.05953936241624688
6.5,-0.0003865297310871938,-0.17297844446212138
5.82,0.0003428816446492029,0.16465024592069882
7.5,-0.00033632630750076744,-0.13404826562090721
7.86,-0.0003247761258369511,-0.0644362611945299
7.94,-0.00030223088738885945,-0.12094415279935189
5.7,-0.0002804263726102482,-0.048879405266346786
5.78,0.0002770344634582201,0.06694607420876333
8.26,-0.000268848631176893,-0.06968713891909456
7.22,-0.00026474651907371923,-0.045760757824258855
5.74,0.00023070606721282023,0.07594111643430324
0.02,-0.0002191839408223847,-0.06523169583867383
5.66,0.00021206306385944233,0.1572849114844546
0.06,-0.0001828870990843904,-0.16835159500401983
6.02,-0.00017177510985823694,-0.14450031219253884
1.1,-0.00015891870520175704,-0.011547103765101409
5.98,-0.00015370251933826036,-0.10698835727654146
6.1,-0.0001473813131514802,-0.1155706303636421
0.14,-0.00014575707702746114,-0.20347726426509863
0.1,0.00014424781860592707,0.16665889190224456
7.58,0.00012141970894180019,0.1613650162096029
7.78,0.00011665360100589389,0.09473699206129771
6.82,9.44534461032184e-05,0.022595916407939655
0.58,9.441319889646827e-05,0.03828540078273757
8.5,9.149163623219633e-05,0.1347779745510346
7.66,8.819117581369644e-05,0.11567979765767994
2.9,-8.76903122092763e-05,-0.01174351709251217
0.54,7.923878205788025e-05,0.029171285437096288
6.78,-7.01050587445892e-05,-0.32989171042424553
7.62,-6.553625601948039e-05,-0.09653971246925228
7.14,-6.549680464091936e-05,-0.028459199797497
0.66,6.424402575999722e-05,0.014200192149003078
9.66,-6.107141446119625e-05,-0.32093500218259186
6.26,5.587749727015169e-05,0.10504600883110538
6.94,4.781853812342023e-05,0.02055999456204897
4.38,4.442875464048097e-05,0.004009995504369243
8.98,-4.232382096339608e-05,-0.13285317236529762
5.94,4.050647349351514e-05,0.038898867685167406
8.58,-3.972072912617323e-05,-0.1207384656308004
6.3,-3.811195987469073e-05,-0.12586255053295142
9.1,3.80916822097893e-05,0.233077894390269
6.14,-3.658424778800625e-05,-0.07964025442579983
0.18,-3.6205427903236495e-05,-0.23825350200513537
7.02,3.3699172871797366e-05,0.09605509650089375
7.46,3.2739883048771786e-05,0.01820696520886557
0.46,3.246463323585643e-05,0.16439409491868076
0.5,-3.23491531001263e-05,-0.13713086275006736
0.38,3.211050275491682e-05,0.1568007233495546
9.38,-3.1417544973166706e-05,-0.2084021835922895
8.86,-3.0345759224455858e-05,-0.2095901492636915
6.98,2.91426333899112e-05,0.02817360219245647
8.74,-2.8619370415836386e-05,-0.15148534376952613
6.42,2.7847893855771135e-05,0.0698233969138225
5.86,2.7772492426366974e-05,0.04460949375204475
9.58,-2.5495236956068718e-05,-0.09011179979241145
5.62,-2.549222700057185e-05,-0.040028213076798554
0.22,2.4624780090990766e-05,0.16916805307895705
5.58,-2.424648303847364e-05,-0.018204998682994408
8.9,2.3193245853922157e-05,0.12438186348072551
6.46,-1.9616775695359856e-05,-0.10943185267516162
9.14,-1.960797968828669e-05,-0.11501533689954753
6.58,1.8934830266117737e-05,0.06392407203760603
8.7,-1.815442795282069e-05,-0.09687605511708001
6.7,1.7603497224253044e-05,0.11777890504130933
6.22,-1.7122497179205588e-05,-0.1072579825970771
9.18,1.674939063571459e-05,0.10352818142530157
9.26,-1.6707847730165086e-05,-0.1083677125356758
8.62,1.6548048813140983e-05,0.046187324452982355
6.06,-1.639312788634655e-05,-0.025746818585988242
9.7,-1.5634291464781597e-05,-0.12026561503574638
0.3,-1.5500508113307472e-05,-0.09022561944405814
6.62,1.4323171928927172e-05,0.05362356577194884
9.02,1.3938987211704743e-05,0.0927907707197552
6.74,-1.3707820845003242e-05,-0.09782818898834215
9.74,1.3531638991478807e-05,0.09944700011119678
6.66,1.3452376272664193e-05,0.059859638029293255
8.78,-1.2443098251804878e-05,-0.07690600349423984
0.26,-1.2352764212154544e-05,-0.08397175894801409
9.5,-1.1951002584778233e-05,-0.08796859074387481
6.34,-1.1436200530450584e-05,-0.07126890385188882
6.86,-1.0482695637175314e-05,-0.0014493015721050847
8.54,-1.0373329454871465e-05,-0.07633215930005821
8.82,8.633377406341296e-06,0.05307694446057556
9.98,8.408859190248712e-06,0.07821026938535866
9.82,8.135328948765444e-06,0.0781610182061063
6.54,7.85805520344849e-06,0.060354480708090005
9.42,-7.630273436731035e-06,-0.055190849765066746
9.46,-7.024723107872017e-06,-0.048955326781774985
9.22,-6.3265677884758565e-06,-0.038942465861700436
8.1,6.112178149567771e-06,0.0010275155558445962
9.62,-6.071624616753176e-06,-0.04163943416348237
6.38,-5.012427824970018e-06,-0.009320824035121807
9.3,-4.954127163391051e-06,-0.028331066175873082
6.18,-4.950206869316026e-06,-0.0038213580070363975
0.34,4.944487112354559e-06,0.028235270282980476
9.06,-4.923825757316032e-06,-0.03466316355296477
9.86,4.350285465146178e-06,0.05161621865165459
9.34,-3.6117012395116117e-06,-0.015112688708397362
9.54,-2.807020772862085e-06,-0.02494762238303638
9.94,2.798190771209838e-06,0.028927946892145628
8.66,-2.3892833482928187e-06,-0.013886804773662019
9.78,-2.249767430931496e-06,-0.02315384040548348
8.94,-8.712613197872194e-07,-0.003636867924131899
0.42,-6.74918025571116e-07,-0.004237847852303636
9.9,2.9344212551274366e-07,0.003146249211449615
