ID,sec-type,CAP1
10005511cSc,sec,0.11438064991199648
10005911cSc,sec,0.022939433909148536
10006511cSc,sec,0.13128964153107026
10007511cSc,sec,-0.1183518840091506
10007611cSc,sec,0.03645612387698209
10007811cSc,sec,0.17318731349667144
10008211cSc,sec,0.13572617158131317
10008411cSc,sec,-0.09090808814935841
10009011cSc,sec,0.035774393184679024
10009211cSc,sec,0.16080078065040024
10009311cSc,sec,-0.27361878680730456
10009511cSc,sec,0.10641169421744592
10010111cSc,sec,0.05285523093412272
10010411cSc,sec,0.11434133594679055
10010811cSc,sec,0.13302317466031569
10011311cSc,sec,-0.05290722136504797
10011411cSc,sec,0.0977373786402768
10011511cSc,sec,0.373679692077183
10012111cSc,sec,0.09275173788819381
10012311cSc,sec,0.11582929199042319
10012711cSc,sec,0.03809709672810571
10012811cSc,sec,0.0012491042402333653
10013611cSc,sec,-0.10839868349922703
10014411cSc,sec,0.2953884615006306
10014511cSc,sec,-0.062545471394155
10014811cSc,sec,0.083949724624126
10014911cSc,sec,0.048132410844502135
10015111cSc,sec,-0.003088051341625493
10015311cSc,sec,-0.20556736546174534
10015911cSc,sec,-0.1851281832968912
10016011cSc,sec,0.1132721230235259
10016611cSc,sec,0.15682970490225628
10017211cSc,sec,0.11954452092681217
10017311cSc,sec,-0.054451809042329984
10017511cSc,sec,0.2455405766457367
10017711cSc,sec,-0.006881428754970879
10018911cSc,sec,0.04348637212741367
10019111cSc,sec,0.028808673530397663
10019511cSc,sec,-0.1083413374033991
10019611cSc,sec,-0.10657079650504722
10019711cSc,sec,0.17835013246774145
10019811cSc,sec,0.0479271690197061
10020011cSc,sec,0.02573096939855822
10020511cSc,sec,0.03597031923039398
10020711cSc,sec,0.16032100658520282
10020911cSc,sec,0.06928005313420456
10021011cSc,sec,-0.006863742222640731
10021511cSc,sec,-0.39672161001417416
10022011cSc,sec,-0.0034088274361732465
10022811cSc,sec,-0.0032399462915162908
10022911cSc,sec,0.0010212292834826803
10023111cSc,sec,-0.1956751748471471
10023211cSc,sec,0.2308067091482413
10023411cSc,sec,-0.0934678518600654
10023811cSc,sec,0.046250413343691066
10024011cSc,sec,0.00473755078336455
10024111cSc,sec,-0.007691518863930727
10024511cSc,sec,-0.10168357019717922
10024711cSc,sec,0.17688044642618553
10024811cSc,sec,-0.3737645429657963
10025111cSc,sec,0.030966983590280106
10025211cSc,sec,-0.05932145618419574
10025611cSc,sec,0.13185658592042743
10026111cSc,sec,0.10666016872046691
10026411cSc,sec,0.0765214543383412
10026511cSc,sec,-0.00601558871227606
10026611cSc,sec,-0.06340594470588455
10026811cSc,sec,-0.00014799834166633052
10027111cSc,sec,-0.060273374260296525
10027611cSc,sec,0.056901188788543756
10028211cSc,sec,-0.11942608961203689
10030211cSc,sec,-0.06684327097779784
11001511cSc,sec,0.1256440587957919
11001611cSc,sec,-0.09212388448375475
11002411cSc,sec,0.03474367376992975
11002611cSc,sec,0.10257688596853426
11003211cSc,sec,0.22223015313688205
11003311cSc,sec,0.12041234708172768
11004111cSc,sec,0.1747755691119406
11004311cSc,sec,-0.032701938137681956
11004611cSc,sec,0.20698349909576047
11004711cSc,sec,-0.013629995569060298
11004911cSc,sec,-0.07033819523987839
11005111cSc,sec,0.03612956799325677
11006011cSc,sec,0.22368139975328857
10005711cSc,non-sec,-0.46713707300762475
10007311cSc,non-sec,-0.24178737602948952
10008011cSc,non-sec,-0.07427392171878838
10015711cSc,non-sec,-0.17955887907350268
10018611cSc,non-sec,-0.08159928737912045
10019011cSc,non-sec,-0.0029446091307868336
10020811cSc,non-sec,0.10271733439300579
10021211cSc,non-sec,-0.2540067124798866
10021311cSc,non-sec,0.08024182670646386
10022711cSc,non-sec,0.04576837039670964
10023511cSc,non-sec,-0.21808131367983122
10023711cSc,non-sec,-0.4607414816306104
10024411cSc,non-sec,0.07640489667746206
10025911cSc,non-sec,-0.16612021162132312
10029011cSc,non-sec,-0.5136653435595093
11001811cSc,non-sec,-0.16648807172191488
11001911cSc,non-sec,-0.05509990372464084
11006811cSc,non-sec,0.021033036060093428
