timing,label,n,n_sec,n_non_sec,m,m_variation,delta2,delta2_p,loo_balanced_accuracy,loo_sec,loo_non_sec,loo_p,perm_acc_mean,delta2_q,loo_q
3,Newborn,103,85,18,14,0.9349665077180915,0.1720260707280387,0.216,0.6088235294117648,0.7176470588235294,0.5,0.34,0.5849277381957121,0.216,0.387
4,1 mo.,77,64,13,6,0.6958449583106351,0.14005715717024853,0.093,0.6057692307692308,0.75,0.46153846153846156,0.387,0.5877259471009472,0.15435000000000001,0.387
5,4-5 mos.,83,65,18,6,0.6550851051694869,0.12602617190982054,0.1029,0.6871794871794872,0.7076923076923077,0.6666666666666666,0.034,0.5880902269791158,0.15435000000000001,0.10200000000000001
