ID,sec-type,PCo1,PCo2,PCo3,PCo4,PCo5
10005311cSd,sec,-0.35585203878979693,0.18885535890638036,-0.3033993261452546,0.3067623943522716,-0.06218526629514872
10007511cSd,sec,0.057445383597824605,0.13772541710820177,-0.22129287912610857,0.19869644703936884,-0.06056655488529811
10007611cSd,sec,-0.08246675454981979,0.2573288801571196,0.26681319239968304,-0.1708842971839524,-0.09071710125565666
10007811cSd,sec,0.18546119927561813,0.10712885198633458,-0.14183196348516508,0.13576021622147277,0.0291167664455256
10010611cSd,sec,-0.3678324216717168,-0.38549969086711305,0.2193290056631623,0.17964283920452145,-0.2061840646171631
10010811cSd,sec,0.14442732338919595,0.13542414141731118,-0.15920079551392785,0.16341211679424197,0.05263183186500886
10011411cSd,sec,0.06471940309369682,-0.1836935563270233,-0.2264551628481867,-0.12977982663385607,-0.05740820391119426
10012311cSd,sec,-0.4705259699571601,0.24889599564068068,0.3210208697192177,-0.18298840835030677,-0.016888002998398332
10012811cSd,sec,-0.4984629225457766,0.35444292008508477,0.16563842860288452,-0.061809936063892804,-0.040032433264490914
10013611cSd,sec,0.06753364368771558,0.042938336178187576,-0.029967975033396006,0.1387681676509301,0.13784540763816455
10014411cSd,sec,-0.5273439187900495,0.2718730740772263,0.3509456742122357,-0.14194528033138867,-0.0972496102653305
10014811cSd,sec,0.13500948048411526,0.2084906018111629,-0.12516068734068572,0.07738576295254994,0.011254203315476958
10014911cSd,sec,0.1482917129451568,0.2053802328671356,0.07033445937039255,-0.06084706257193388,-0.04434062101775553
10015111cSd,sec,-0.3978664666898125,0.0004752120659053686,0.14834756874008737,0.012901643933560738,-0.056096493976248676
10015311cSd,sec,-0.4112637070115671,-0.15072222428172552,-0.42231067910169867,-0.2556354945728035,0.02365538013006828
10015911cSd,sec,-0.42030842570561033,0.2487625382059419,-0.3285970257879028,0.1161677089399484,-0.02237998585758544
10016011cSd,sec,0.061582016156775214,0.11349995965019244,-0.24640260243263393,0.24055274831409998,-0.060893987408201955
10016611cSd,sec,-0.3656315199171724,0.1804134149410294,-0.3638077611966143,0.3787676604621896,0.0034040966136185025
10017311cSd,sec,0.26372439055609037,0.13421684579395127,0.08152022607363014,-0.038686009869614374,0.07532395850759832
10017511cSd,sec,0.20605493415596313,0.1854575997797696,-0.027663406066410767,0.013047182084608592,-0.0033668689643955685
10018811cSd,sec,-0.3482404061287193,-0.43839979587020017,0.15602354227141538,0.3216105567652928,0.08063747136945482
10018911cSd,sec,0.24857140218198062,-0.01502463016719309,0.1237286755857007,0.08524203423815344,0.2587282191472121
10019111cSd,sec,-0.35404764139749373,-0.2112652356409313,-0.3240693630234127,-0.16108643814216658,0.05649254148504161
10019611cSd,sec,-0.3370947668099832,-0.17885375003479745,0.009592275109930916,0.050462217499915446,-0.09821911381034992
10019711cSd,sec,0.18016671818162974,0.20815483046891717,0.10858954008694989,-0.09266763905007927,-0.04665382646198745
10019811cSd,sec,0.22965732082494322,0.13627315757903302,-0.03621587425097735,0.04052198119684057,0.0038556314490040527
10020011cSd,sec,0.1339501001474085,0.1422792649048525,-0.22600121478580587,0.16068427998283938,-0.025666095538774816
10020611cSd,sec,-0.1120753397222067,-0.11968823516534373,0.23914589929859878,0.14020716623068508,-0.3195411514803782
10020711cSd,sec,0.11436262327984548,-0.13106025068621746,0.144687911728519,0.13856812974815358,-0.2368818984306859
10021011cSd,sec,0.11177270335388306,-0.183973675032711,0.14635040975511937,0.09357521274390673,-0.22658716709330634
10021511cSd,sec,0.09215538092011331,-0.19502929868911725,-0.15283525356312658,-0.3145171711473923,0.01598148280102713
10023111cSd,sec,0.033904512992941144,-0.26240191865955526,0.18603160444839348,0.10715449876323735,-0.09825810588961993
10023211cSd,sec,0.09256986337965137,-0.2646893956102165,0.07278687397640206,0.1554535617268852,0.022912929298232552
10023411cSd,sec,-0.5000215154134033,0.304236581994577,0.21201104695776735,-0.26309976782710776,-0.04655116640745244
10023811cSd,sec,0.22945087074040282,0.19243992151963693,0.12778238393400446,-0.07142192234111554,0.06920014239387813
10024111cSd,sec,0.07764391007432785,-0.28384467609742736,0.2246169617607509,0.19975829124162436,-0.09005436908502602
10024511cSd,sec,0.21055681953717711,-0.20068658473015474,-0.05070301798224717,-0.1638688402887522,-0.02243631397276049
10024811cSd,sec,-0.3485259679488318,-0.22874835504662058,-0.20169082337705987,-0.17574155907178665,-0.0225618269337189
10025111cSd,sec,0.0870722736415163,0.12675397507388442,-0.1158385970338563,0.09417815225639825,-0.08820086705563882
10025211cSd,sec,0.24689494913509802,0.09505542090755296,0.0875329707001085,-0.020432406117954886,-0.0035300407223470115
10026111cSd,sec,-0.438994304478616,0.25009844985353186,-0.31404953492215676,0.12305297563378435,0.06424474704862121
10026411cSd,sec,0.2169928267260708,0.17689879855535506,0.12990598462861971,-0.09336770757470014,0.045597326770764765
10026511cSd,sec,0.2060091867821775,-0.057611231174477875,-0.021798333826838854,-0.14957249944054601,0.0325640800885386
10026611cSd,sec,0.30633258081748665,0.09862196907782785,0.04634848466107713,-0.01653637776998829,0.055702094445396956
10026811cSd,sec,0.22588885516034585,-0.09767186550783437,0.0356658193370593,0.03457035423336627,-0.11311568958551001
10027111cSd,sec,0.24989708124853,4.988606530663418e-05,0.10369151768491754,0.01107394899505982,0.1847211883502077
10027611cSd,sec,0.0885913299537958,0.09360922359543018,-0.13247054075058384,0.17843097905146696,0.06323959167465709
10028211cSd,sec,0.022094015485039788,-0.29460407805022165,-0.08501735629808037,-0.22302347916778556,0.13618335374524088
10028511cSd,sec,0.21823438489691904,-0.05147796027351595,0.03753281077002796,-0.16649465366883964,-0.07019518735061767
10029911cSd,sec,0.33779018339682787,0.10990278566650026,0.06964943594827744,-0.05141323665209289,0.08887817692706038
10030211cSd,sec,0.19036864237041326,-0.2203070963312492,-0.023083866053649975,-0.12036287687295852,-0.08435343926778173
11001511cSd,sec,-0.3894936895816464,-0.11953480787054736,0.23224054911322004,0.1641339309937595,0.5668178185748889
11001611cSd,sec,0.07323721912747702,-0.07057260689151117,-0.14182134124193307,0.011908704847099006,-0.08235336670785187
11002311cSd,sec,0.2103991923580267,-0.15242374888264962,-0.044843263219825444,-0.15800554458296878,0.02038960977329775
11002411cSd,sec,0.326585366564369,0.11101543320827295,0.05105851362928437,-0.024495336428706823,0.07045363894788315
11003211cSd,sec,-0.0235929008230188,-0.11966653747607466,-0.2893964337970772,0.015900031632202816,-0.08447515315574484
11003311cSd,sec,0.1224420086453233,0.23222722211834498,-0.013745738616153691,-0.0035050320085404313,-0.05606303264045624
11004111cSd,sec,0.18588818516811084,0.0333891333843528,0.08867632407386018,0.008059701901547277,0.0822536741721474
11004311cSd,sec,0.039964906773241216,-0.15823643303325594,0.1621953613873607,0.16754691110528458,-0.25045611114044075
11004611cSd,sec,-0.049328330989525083,-0.1607576201217134,0.1781407553604646,0.12256613172119629,-0.19145304571893534
11004711cSd,sec,-0.02469649241909263,-0.412449876659812,0.028500887922623654,-0.064595215211411,0.12024854116868727
11004911cSd,sec,0.22715868962407282,-0.04212313116438065,-0.060419820549438716,-0.03912898815325379,-0.02432030425554698
11005111cSd,sec,0.3009032056054183,0.10370185716941407,0.049337602817796,-0.025350567455009628,0.057314048018623026
11005211cSd,sec,0.24083634124835535,0.07387408034395583,0.07836219113295426,0.02348778114902955,0.1252493192730964
10007311cSd,non-sec,0.21864286069165537,0.15784144526427618,0.12972467028936577,-0.09117252189888841,0.005443708255804949
10008111cSd,non-sec,0.08337649498374247,0.1882831318802749,-0.12094539659536603,0.08298263150951503,-0.06848382285051655
