timing,label,n,n_sec,n_non_sec,dbrda_F,dbrda_R2,dbrda_p,dbrda_partial_F,dbrda_partial_R2,dbrda_partial_p,varpart_sec_given_feeding,varpart_shared,varpart_feeding_given_sec,cap_m,cap_acc,cap_p,cap_partial_m,cap_partial_acc,cap_partial_sec,cap_partial_non_sec,cap_partial_p,cap_partial_null_mean,dbrda_partial_q,cap_partial_q
3,Newborn,80,66,14,0.5289089877768678,0.006735213752418147,0.8431,0.46642189658696315,0.0059366455003958245,0.8834,-0.006967814030055197,0.0009688638562223018,0.00048227532830047437,1,0.5627705627705628,0.703,1,0.487012987012987,0.5454545454545454,0.42857142857142855,0.933,0.5882516715850049,0.8834,0.9330000000000002
4,1 mo.,53,44,9,0.9547170456446296,0.01837594543736744,0.4536,0.8290033860908917,0.015815093106260853,0.5543,-0.003392628440136103,0.0025210433958832157,0.008855321511888614,1,0.5820707070707071,0.667,2,0.571969696969697,0.4772727272727273,0.6666666666666666,0.62,0.5923827868272312,0.83145,0.9299999999999999
5,4-5 mos.,68,52,16,1.1425761612507326,0.017017162977284374,0.3126,1.0514317799057646,0.014916022836611434,0.3709,0.0007520815596941954,0.001371402068761074,0.04738828769870029,7,0.6201923076923077,0.314,8,0.6802884615384616,0.6730769230769231,0.6875,0.087,0.5939064064064065,0.83145,0.261
