ID,sec-type,dbRDA1,MDS1,MDS2
10005311cSe,sec,0.2189161989707702,-0.17931244546032907,-0.5539695354884976
10005511cSe,sec,-0.21368568541074728,-0.24692432727571212,0.21837813057799668
10006111cSe,sec,-0.017373961088764586,0.005928822016228569,-0.01105977074437962
10006511cSe,sec,0.13224217100130167,0.11699998698667223,0.004932785947189772
10006811cSe,sec,0.12667146390041734,0.1905608528417051,-0.010065433420297004
10007811cSe,sec,0.1401853960380886,0.19201617554179998,0.05748157583059582
10008211cSe,sec,0.04057542751604616,0.06824265379845947,0.023311638655300556
10009211cSe,sec,-0.06290578293461466,-0.09275940047330854,0.20506701691347634
10009311cSe,sec,0.10145248878967862,0.20573515330602607,0.05855049025328748
10009511cSe,sec,-0.20981907847450543,0.06630718890730468,0.007580312321295328
10009811cSe,sec,-0.01134744072506505,0.009053779386095003,-0.013926642351341481
10010811cSe,sec,0.1303947141193754,0.1976479153562492,0.019217355217433906
10011011cSe,sec,0.009325982501647326,0.21418589375922376,0.01410725481593104
10011311cSe,sec,0.09148255186487321,0.05126474225195446,-0.08673323098157955
10011411cSe,sec,-0.02993300217234509,-0.2574698812345498,-0.33156901267934025
10011511cSe,sec,-0.1402864034220052,-0.4463959005845035,0.20703553683587694
10012311cSe,sec,-0.10303453834724717,-0.26848761314270353,0.18740095681816768
10012711cSe,sec,0.07549581704907564,0.22428367129079704,0.05077591143616966
10014411cSe,sec,0.14650074004380143,0.18528985831310918,0.026616092366014647
10014511cSe,sec,0.10495759154881004,0.1521650293994271,-0.031394100267459486
10014611cSe,sec,0.37870128656710955,-0.18625223923004966,-0.5492019315063378
10014811cSe,sec,0.1062939021081468,0.18181472881396835,0.04805501283699411
10014911cSe,sec,0.15564927839848272,0.12991107777037902,-0.037923495141912344
10015111cSe,sec,0.1632450522077666,-0.17683239622232988,-0.3209810285556286
10015311cSe,sec,-0.16634262963529595,-0.15162097861829696,-0.217004653753794
10016611cSe,sec,0.1159000252968424,0.20323527160177704,0.059437124271577706
10017711cSe,sec,0.12015173240758555,0.18269706761652943,0.038178846094908125
10018911cSe,sec,-0.11624655989366536,-0.1446016157050646,0.18485368382623385
10019111cSe,sec,-0.16944635093413274,-0.2071389219676709,-0.1988204875879115
10019511cSe,sec,-0.21257608511539733,-0.04025309146077997,-0.10543637492739283
10019611cSe,sec,-0.03796134803139434,-0.6378408123006667,0.10213519293476249
