timing,label,n,n_sec,n_non_sec,dbRDA1_var,MDS1_var,F,R2,R2_adj,p,q
3,Newborn,103,85,18,0.011845322539124169,0.24483652116528606,1.2107189327137602,0.011845322539124173,0.0020616128612938045,0.2838,0.3207
4,1 mo.,77,64,13,0.015823754234919968,0.26610694980761246,1.2058628449180016,0.015823754234919968,0.002701404291385656,0.2806,0.3207
5,4-5 mos.,83,65,18,0.01378019549942401,0.2790079848341423,1.1317921525806187,0.013780195499423999,0.0016046423574415103,0.3207,0.3207
