timing,label,n,n_sec,n_non_sec,PCo1_explained,PCo2_explained,permanova_F,permanova_R2,permanova_p,permdisp_F,permdisp_p,dispersion_sec,dispersion_non_sec,permanova_q
3,Newborn,103,85,18,0.21581207461236585,0.14307042026789923,1.2107189327137844,0.011845322539124403,0.2823,2.2197043770455265,0.1342,0.6071336175244342,0.5786186722913195,0.3108
4,1 mo.,77,64,13,0.2297375731951405,0.137015815912238,1.205862844918001,0.015823754234919996,0.279,0.002572596892059148,0.9622,0.45996067447835887,0.4575128450590008,0.3108
5,4-5 mos.,83,65,18,0.24476320766629964,0.12765250192854102,1.1317921525806032,0.013780195499423775,0.3108,0.47393203130182565,0.4975,0.3710682500845023,0.34796792360299655,0.3108
