ID,sec-type,PCo1,PCo2,PCo3,PCo4,PCo5
10005511cSc,sec,0.2648781719675812,-0.3803606113566349,0.2894258920597798,-0.09127518245253764,0.03709937798386557
10005911cSc,sec,-0.4606016561374896,0.011753981454744912,0.015257963260037347,-0.02756750392735451,-0.10263897789609934
10006511cSc,sec,0.24440735543117717,-0.36553870699310403,0.2788058285511359,-0.1888365455887608,-0.024598956750456744
10007511cSc,sec,0.13785580836224992,-0.11701698799343409,0.21352290699743298,0.46008187717866283,0.29309752134751427
10007611cSc,sec,0.41036338179609566,-0.2690595666242809,-0.1615161679266055,-0.2968105627089697,-0.08822383641844125
10007811cSc,sec,-0.424613097924722,-0.10013671398589782,-0.03446671010281063,-0.00070306132550474,0.22339252847485797
10008211cSc,sec,0.09377848601377888,-0.08834725085516087,0.1062265258662928,0.32932271831405513,-0.03637926211327295
10008411cSc,sec,-0.5259328921317907,0.002098074622449428,-0.05036281787715779,-0.08417527435792514,0.03160776273298323
10009011cSc,sec,0.2920488209294586,0.04834038765280503,-0.5187582979669939,0.017212308014295064,-0.04186001369243303
10009211cSc,sec,0.28137562001678107,-0.3533787440219866,0.2802606915332917,-0.27221495325469985,-0.04353788824694855
10009311cSc,sec,0.24814927339945694,-0.11272068224199545,0.061590165656893514,0.42220901584578024,0.27089310300614683
10009511cSc,sec,-0.25121662601290784,-0.3242880425551552,0.0983323824687824,-0.38116224299709756,0.12283382795080056
10010111cSc,sec,0.322126021281279,0.04989234633406928,-0.5182263588053893,0.02112634807430701,-0.03130364885539764
10010411cSc,sec,0.2650898609074311,-0.2982858273399564,0.29116816792809586,0.16508402980943493,0.1613462742736796
10010811cSc,sec,0.29863501595854436,-0.3139766813911465,0.1933486124966137,-0.22547578615762215,-0.05450726167424014
10011311cSc,sec,0.2817851485098147,-0.3457209679544895,0.3296367106423368,0.15913601830869079,0.2029739012451848
10011411cSc,sec,0.05930660162632336,0.02033271498687797,0.09456572330241825,0.09986269538412658,-0.13659289454564907
10011511cSc,sec,0.1387122277182352,-0.027624734272739877,0.10773515786533489,0.1239225509556527,0.04782059085271519
10012111cSc,sec,0.2693546490285913,-0.32878258511991393,0.28802173886721066,-0.3648170081042578,-0.08938991842620107
10012311cSc,sec,0.2536875161040453,0.002345216967281229,-0.20181343966921308,0.0073606232014901615,-0.03067189524225931
10012711cSc,sec,-0.4243729005453646,-0.07171153387037155,-0.10650043068034501,-0.1237851852349291,0.2560662247301393
10012811cSc,sec,0.2867815815624434,-0.32395720657234517,0.2346781288879412,-0.34550535940613386,-0.08722955643482681
10013611cSc,sec,0.19016525967904133,-0.14624934177588536,0.24215676384130766,0.4319114307002287,0.30000794027256766
10014411cSc,sec,0.2273531581070169,-0.223336552470255,0.21712955246431337,-0.16495076209031334,-0.045186739114868604
10014511cSc,sec,-0.42903167861863933,-0.04089854247266529,-0.14148761213506017,-0.15593299076157835,0.23299863126619538
10014811cSc,sec,0.4017983743446562,-0.25820788787002386,-0.15587119677078506,0.026475537039299515,0.06517596473681503
10014911cSc,sec,0.34695991150607147,-0.29080688877367433,-0.11682115578783621,-0.26637144536426727,-0.06217775305727652
10015111cSc,sec,0.18910226134066976,0.598646607809424,0.25166489339789544,-0.170213823120458,0.1533255007444886
10015311cSc,sec,0.03820750191927636,0.5954637088484406,0.2740727672955983,-0.07252245342530514,-0.1511176328691987
10015911cSc,sec,0.25699589946378915,0.5516338107357988,0.10371374670669181,-0.1649699154285485,0.11949633388045534
10016011cSc,sec,0.19137923523288206,-0.24722658400652728,0.2542543342900708,-0.15376564968748044,-0.16457091785110842
10016611cSc,sec,0.29403529186468524,-0.0359247396068672,-0.27746019668225896,0.1919580607714629,0.08943767373116593
10017211cSc,sec,0.3316251253502865,0.007042414040271313,-0.47274528308312075,0.08524971385190519,0.008660928498061923
10017311cSc,sec,0.27532891328917913,-0.33406559563926175,0.3220887208232322,0.17988643684532335,0.21013293893763846
10017511cSc,sec,0.042726020142869796,0.03674723799924497,0.08362672223293671,0.036277815267780816,-0.029957022422311748
10017711cSc,sec,-0.2580249201134517,-0.03571572915379428,-0.4150374145751034,-0.1532226557821212,0.1777585286768864
10018911cSc,sec,0.11734790687190717,-0.09162558301552279,0.19400505512648925,0.5334169944527801,0.23350906025287166
10019111cSc,sec,0.17136655612667787,0.5924452915683213,0.26117106170992427,-0.1747352074713207,0.13634845895652783
10019511cSc,sec,-0.08339410943741313,0.023154878308099945,0.20341377085232412,0.4768397894629165,-0.2651554398795001
10019611cSc,sec,0.0913427576603121,-0.20030502815484694,0.22762684596805488,-0.10734315053624953,-0.352330593078519
10019711cSc,sec,0.17362797141075867,-0.010881058423807514,-0.03209837436080963,0.16548911535104124,0.06975945935639842
10019811cSc,sec,-0.037033991031575,-0.20498641398028217,-0.18683378786442684,-0.18996547139851536,-0.022506767282109
10020011cSc,sec,-0.3674936585150626,-0.009300980493977744,0.0010494922661517948,0.005829222044953651,-0.08956556101420014
10020511cSc,sec,0.32379969143903153,0.05350276330036727,-0.5211669258193614,0.008311500298196406,-0.03884086854680803
10020711cSc,sec,-0.2780220049989108,-0.02029791754135734,0.0264239359802914,-0.0016501217065622497,-0.04553509247259247
10020911cSc,sec,0.32348932601978136,0.04131485282254446,-0.5122322985953127,0.03599240639031991,-0.022250511099235686
10021011cSc,sec,0.050699106318253535,-0.00995381747166743,0.07170456037583563,0.19479490196027102,-0.2158280349898932
10021511cSc,sec,-0.106416077960004,0.1346537268571439,0.11312503400007881,0.1715623318103453,-0.5060265982652167
10022011cSc,sec,0.18912155683098283,0.599703465959563,0.2524390886706984,-0.1698229880173714,0.15350957806839888
10022811cSc,sec,0.18860216006733613,0.600670974700291,0.2529413727293776,-0.17019931574273972,0.15377609007516124
10022911cSc,sec,0.1928314548035236,0.5857563215957774,0.2454075910179807,-0.16256635730789473,0.15444679258576285
10023111cSc,sec,-0.5198536847134035,0.03162849067048194,-0.013103420866703684,-0.02031995246497406,-0.16256745305994386
10023211cSc,sec,0.024728790526544774,0.05353475855577947,0.08329670855863398,0.23461327487379194,-0.0077070575253289164
10023411cSc,sec,0.208255443859055,0.5741407242777908,0.20958343534923954,-0.16433269117655738,0.14502983692795832
10023811cSc,sec,0.32094772282751993,0.053012438004107224,-0.5209508637088758,0.018108193712809452,-0.034369715891246176
10024011cSc,sec,-0.4275426146898126,-0.07801229597020701,-0.06717436703238742,-0.15077833973275756,0.13564069016002314
10024111cSc,sec,0.24801452834204138,0.019383596753656997,-0.3264220177970541,0.06671334437820395,-0.14268583905048887
10024511cSc,sec,-0.351271147952975,0.08748878895279345,0.05351616723611009,0.07131177196236668,-0.2795587644810067
10024711cSc,sec,0.22673907178342304,-0.2902130384442706,0.2613885158666118,-0.3189211514153276,-0.09079641261295728
10024811cSc,sec,-0.03868344582604555,0.10847433336968232,-0.004660935253442861,0.13765853619805232,-0.42313823816061147
