seed,draw,R2Y,Q2,r_pcorr,top_overlap
0,matched,0.6727653631092658,0.3864265358262605,0.9551159128185462,6
0,random,0.6597076250234266,0.4074368900915023,0.9542476886796303,8
1,matched,0.6930499279151234,0.38427865136565553,0.9663571306171411,8
1,random,0.6795029877888009,0.4154905753001199,0.9431704869072781,6
2,matched,0.7019180582152462,0.33959685544829143,0.9370300859248138,6
2,random,0.6465061043793496,0.3160137010490417,0.9586198173791708,5
3,matched,0.6762154971797362,0.4314310344100283,0.9703261552521849,10
3,random,0.6611135678910374,0.33900215413061596,0.9671927147508345,7
4,matched,0.7001688668693279,0.3533048147719756,0.9636480101836817,7
4,random,0.6756845233753846,0.30802617818482514,0.9575639132102264,6
5,matched,0.6913605955215301,0.4209371917897702,0.9623570979771359,8
5,random,0.711592577297369,0.3222088084307131,0.9602624256419883,6
6,matched,0.6862319219495299,0.39140694703168755,0.9696301071408174,7
6,random,0.654014289412806,0.3996721046762841,0.9452488392398145,5
7,matched,0.6593441547431953,0.37761746271243446,0.976854156296665,8
7,random,0.6308103948918226,0.3123284692726459,0.9754930680788909,7
8,matched,0.6988365618283549,0.3900720499156911,0.9709822193571552,8
8,random,0.7118840177938615,0.35895189860845966,0.9576536732245878,6
9,matched,0.6687914636996496,0.33374122431854136,0.9689846510375443,6
9,random,0.6509543647012443,0.13407872407204613,0.9578225852516137,6
10,matched,0.7183009301386003,0.3477986904575344,0.9511754481880719,7
10,random,0.6843331180923329,0.40000188927848257,0.956774025083844,7
11,matched,0.7439078007403876,0.4355942224643915,0.9444434471109516,5
11,random,0.6583200038455884,0.2924108707173161,0.9498625039780006,5
12,matched,0.6739713764979138,0.3632756179803843,0.9596659295465488,7
12,random,0.7012408852670395,0.32102685640904993,0.953990648638504,7
13,matched,0.6962660689511475,0.44118014150696094,0.963744298199088,6
13,random,0.6528882503392093,0.4084678133975421,0.9737068437930952,6
14,matched,0.6564318235283946,0.3445688416075581,0.9663661066185774,7
14,random,0.6467823271542138,0.30658563214060286,0.9669927947188472,5
15,matched,0.6660523676335652,0.35448276362878217,0.9653836424613831,6
15,random,0.6352353466607998,0.372742758717719,0.9528792564606812,7
16,matched,0.6850925511885078,0.35725913588868574,0.9430415588866496,5
16,random,0.7146697742632572,0.30628887124080306,0.9381937021109925,7
17,matched,0.7385659772153265,0.43594820933046086,0.9418306146928985,8
17,random,0.652252992581007,0.3983027436090415,0.9559408889505424,7
18,matched,0.7214008471551074,0.33041351067385827,0.9411990305918451,7
18,random,0.6614541407172925,0.3986426004363065,0.9432480069196811,6
19,matched,0.670922233040059,0.3956669582007942,0.9448816391810624,6
19,random,0.6509977000290902,0.32264538003471865,0.9710466833674695,7
20,matched,0.7142605925090053,0.3541045816102907,0.9573036091685777,7
20,random,0.6600088474343292,0.34822238178178655,0.9637695942031353,8
21,matched,0.6821332979602925,0.3689573119028109,0.9653542664566829,8
21,random,0.6987322612044584,0.3985297880517037,0.9465536234485799,5
22,matched,0.6740355850360235,0.3935721038112202,0.9752596920415509,9
22,random,0.7252106979689681,0.3931957737289,0.9454601832736295,6
23,matched,0.7236838666984129,0.42803730391683126,0.9364686778349885,7
23,random,0.6668595715870402,0.3191219441259666,0.9635427461668394,7
24,matched,0.688668350930929,0.279420120740418,0.9624729699956753,8
24,random,0.6643860150924439,0.36627871884277985,0.9647275783564128,6
25,matched,0.6558136052397316,0.4287977350678618,0.9663669226187078,5
25,random,0.667456386398103,0.36717275112137737,0.9736489077838253,9
26,matched,0.6794433656416025,0.36938624153708555,0.9574970011995203,6
26,random,0.6652680060512972,0.48212107441985286,0.9730165076826414,7
27,matched,0.6663989276051093,0.3798764441449026,0.9685986829757895,6
27,random,0.6604338258308232,0.25785150988016503,0.9629715460754474,4
28,matched,0.7036435525201765,0.3921701604856852,0.9347461015593765,5
28,random,0.6946333597526201,0.4036916392606279,0.9623260899721745,7
29,matched,0.6545783451132698,0.31871825340409865,0.9660225705636114,7
29,random,0.6697092291102569,0.37909689001516933,0.9653199944511993,6
30,matched,0.6713476520119868,0.43435522590473086,0.97684681229549,5
30,random,0.6845386390655912,0.39824471929638217,0.9761931961909116,7
31,matched,0.6561132375731651,0.3776568058876011,0.9698177871708461,6
31,random,0.6610259510277252,0.2922728059973322,0.9668320426931268,7
32,matched,0.6574026890275975,0.36401679120844277,0.9583627773380445,5
32,random,0.6948820334742778,0.3628521126727998,0.9453720552595289,6
33,matched,0.6696248074242248,0.3656407586399998,0.9679344588695137,7
33,random,0.66293699263862,0.24536457355039365,0.979551036728166,8
34,matched,0.6766369047920053,0.42134261053387556,0.9632873381259743,7
34,random,0.6455431016306036,0.3867888351312313,0.9551306008208963,6
35,matched,0.6632869524070291,0.3642173708570918,0.9588026014084164,6
35,random,0.7049923743406405,0.40551731280186076,0.9448514471762315,6
36,matched,0.6692668422118035,0.4330352638862027,0.9691568270650924,7
36,random,0.680958108427409,0.37879876205156804,0.9264987882398062,5
37,matched,0.6711824467153111,0.3949602308862973,0.9617312258769962,5
37,random,0.6682762014573045,0.3688415094341283,0.9664534186325472,7
38,matched,0.6691578728793364,0.45498209993996364,0.959621049539368,6
38,random,0.716972639147616,0.400429301385559,0.9296159087385455,4
39,matched,0.6651311992725171,0.25672131294562694,0.9643106022896965,6
