metric,matched,random,difference,pooled_SD,cohen_d,mannwhitney_p
Q2,0.3872808486142376,0.34825889302927776,0.039021955584959855,0.0635337553333761,0.6141924931117759,3.347035390863452e-08
R2Y,0.6853159499272405,0.6744310203420159,0.01088492958522469,0.02284252520448364,0.4765204147870719,4.261257714848138e-07
r_pcorr,0.9608015202082434,0.9594896775983486,0.0013118426098948088,0.014988543448258066,0.08752302146125267,0.8298150282641259
top_overlap,6.725,6.63,0.09499999999999975,1.2014386267593309,0.07907187090883329,0.547517068874549
