set,n,n_sec,n_nonsec,R2Y,Q2
full,106,88,18,0.6105725939701796,0.3901637496606849
joined,80,66,14,0.6283079909596733,0.4255377255446847
matched,56,42,14,0.6727653631092658,0.3864265358262605
random,56,42,14,0.6597076250234266,0.4074368900915023
