ppm,p_corr_unadjusted,p_corr_matched_mean,p_corr_matched_lo95,p_corr_matched_hi95,width95
9.98,0.11277099931309469,0.11365747019733927,0.03509880194189879,0.19046844669380583,0.15536964475190704
9.94,0.029276351040940146,0.06909935795279228,-0.020557141801436817,0.16256787686887905,0.18312501867031586
9.9,0.022372793073650404,0.05181836850469626,-0.059423159960554035,0.14542439951141004,0.20484755947196406
9.86,0.012986363482854,0.04276781771663595,-0.03467003083301897,0.1364713371448696,0.17114136797788856
9.82,0.042264250986414176,0.059556868392064734,-0.016687344237282332,0.1344860637424909,0.15117340797977322
9.78,-0.011315468440075731,0.0170085256340086,-0.06126222751285229,0.09746158496999573,0.158723812482848
9.74,0.06640742537722398,0.052567744883101064,-0.043350999135038204,0.14784970176368378,0.191200700898722
9.7,-0.15825117955341322,-0.13255148226127583,-0.21086927282576615,-0.04753413760839274,0.16333513521737342
9.66,-0.38670997034688775,-0.45369501723910227,-0.5430145362296644,-0.35475511850928143,0.18825941772038302
9.62,-0.07361562571385016,-0.11133207017361421,-0.2161644972096998,-0.03239834959764797,0.18376614761205182
9.58,0.04224174572989384,0.02313925721945331,-0.12045379777107211,0.09451602907760237,0.2149698268486745
9.54,-0.0016896717005807995,0.001427967611801106,-0.09012738051462124,0.08324743950583087,0.17337482002045213
9.5,-0.061530238988070925,-0.1011250259917502,-0.1904421448859664,-0.019016652997971582,0.1714254918879948
9.46,-0.07919673986119118,-0.1082642855082487,-0.19650910820556974,-0.03624821589409999,0.16026089231146975
9.42,-0.08452091148948598,-0.09782975534234821,-0.20033725785002865,-0.02103649049810719,0.17930076735192146
9.38,-0.25134414536813815,-0.2808544542746938,-0.3700468671706965,-0.20691682466125974,0.16313004250943677
9.34,0.1108895088104602,0.12212490029942817,0.0472748457905874,0.16843208281227584,0.12115723702168844
9.3,0.007696869084715821,-0.002410119974827121,-0.07569542664194098,0.057404791412113056,0.13310021805405403
9.26,-0.1663002352633884,-0.12640191203359147,-0.24183450223671576,0.0022206616962603927,0.24405516393297616
9.22,-0.042198900402283225,-0.07091890040150378,-0.1290241011826515,-0.01137994906128308,0.11764415212136843
9.18,0.06785218959327924,0.07291481780726226,-0.017619839975981346,0.16547289444041688,0.18309273441639823
9.14,-0.039726397679429405,-0.0033215259208132434,-0.08398903373635393,0.06405357923788499,0.14804261297423893
9.1,0.21421066490398316,0.2609378461130367,0.19559704727241745,0.34804119707845543,0.152444149806038
9.06,-0.10337723965881941,-0.08572625808070304,-0.18536466589196884,0.002902781877090498,0.18826744776905935
9.02,0.04295863666193151,0.04345796942915356,-0.03755319963500107,0.1070715598013674,0.14462475943636846
8.98,0.06147600770516134,0.06363138063297771,0.0019470377647168547,0.11225347979362599,0.11030644202890913
8.94,-0.0176829462381127,-0.020032307333785925,-0.10764385487151941,0.05143740002475493,0.15908125489627434
8.9,0.00695225083244672,0.011810175864369667,-0.05835495459505944,0.09083672559928685,0.14919168019434628
8.86,-0.2145580534443169,-0.21861199736390943,-0.2872384707199409,-0.15104892896083033,0.13618954175911058
8.82,0.0720486652933698,0.11399928122795401,0.03719436312627027,0.18805884808763168,0.1508644849613614
8.78,-0.05408113339887839,-0.04996290847661742,-0.11111634789551635,0.01107821135608431,0.12219455925160065
8.74,-0.17223877582447053,-0.20674281337123993,-0.27999959487968606,-0.13428911439903315,0.1457104804806529
8.7,0.0032913648142174554,0.012675711737256755,-0.09595067283917427,0.11123376052782775,0.20718443336700204
8.66,-0.05395852009570108,-0.035217810539473635,-0.1298963232204953,0.029848074967505304,0.1597443981880006
8.62,0.13908449685916527,0.18498477653894624,0.11921208375172578,0.2516167137523905,0.1324046300006647
8.58,-0.09738481305189288,-0.12296349493562868,-0.22158605694709954,-0.037923371076655846,0.1836626858704437
8.54,-0.05034998229139,-0.026643224523474805,-0.09936179718282101,0.0592175925118924,0.1585793896947134
8.5,0.1395164336793425,0.15883641551964803,0.06758004108123397,0.22315730524282437,0.1555772641615904
8.46,-0.0273720133420868,-0.03607418965984514,-0.16458485857066535,0.07176019235355424,0.2363450509242196
8.42,0.23375963933324667,0.27112699816899977,0.21094387881980345,0.32530079281158203,0.11435691399177858
8.38,0.13364308520490245,0.1254027926694098,0.03588046941201359,0.22336184017735627,0.1874813707653427
8.34,-0.3653791093693359,-0.3877055824750193,-0.5247580112279631,-0.3109369090957888,0.21382110213217426
8.3,-0.631469090366044,-0.6390649387938988,-0.6976453813424282,-0.5782146331649782,0.11943074817744992
8.26,-0.03936592174289845,-0.06286803122438653,-0.23237214059229497,0.041350191342317495,0.2737223319346125
8.22,-0.5737850693401292,-0.5667599430420044,-0.6510317277120368,-0.48199679552104613,0.16903493219099064
8.18,-0.4763954015849733,-0.45082053322136967,-0.5953558310556133,-0.34276935190254026,0.25258647915307303
8.14,-0.47574792339564526,-0.4692161124457758,-0.5594338809520171,-0.3643660759433228,0.19506780500869425
8.1,-0.019173798900725847,0.031041507822954832,-0.08448869865193906,0.1292968795327978,0.21378557818473687
